layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.4318683212990267,0.07290987775279138,6.999348264267972,7
2,0.3055266691554088,0.05158033363348848,4.951712028814894,5
3,0.3067463767789278,0.05178624994950218,4.971479995152209,5
4,0.3278948218336049,0.055356621906769446,5.314235703049867,5
5,0.3273272610449986,0.05526080383984086,5.305037168624723,5
6,0.3380369812882615,0.05706886512887955,5.478611052372437,6
7,0.3510440462772523,0.05926477409348568,5.689418312974625,6
8,0.4776462668056068,0.08063830849441019,7.741277615463378,8
9,0.6397842595210127,0.10801114564163408,10.369069981596873,10
10,0.6316593586146252,0.1066394647319151,10.23738861426385,10
11,0.8290287988371721,0.13996022721682763,13.436181812815452,13
12,0.956753878840366,0.16152332761045532,15.506239450603712,16
